Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.10664,0.54194,0.14076,0.07832,0.1011,0.2061,0.21697,0.17989,0.12274,0.03014,0.0402,0.05001,0.03629,0.02584,0.00652,0.00691
5 to 9,0.48498,2.06653,0.75759,0.24959,0.13036,0.10847,0.15612,0.21467,0.16125,0.05016,0.07639,0.04506,0.04017,0.03459,0.01399,0.00712
10 to 14,0.25422,0.77581,2.74508,1.18964,0.19909,0.10003,0.24293,0.16564,0.25878,0.06693,0.08883,0.04965,0.03542,0.02251,0.02064,0.01077
15 to 19,0.19812,0.22704,0.45266,3.76387,1.35254,0.41255,0.2043,0.12934,0.17532,0.13462,0.13928,0.06215,0.05935,0.025,0.04063,0.00627
20 to 24,0.3455,0.19835,0.30886,0.93999,2.25636,1.18894,0.558,0.31785,0.32465,0.1909,0.2624,0.16057,0.12904,0.07528,0.03887,0.01416
25 to 29,0.56127,0.41873,0.27784,0.46767,0.94876,1.61389,0.87265,0.59343,0.41467,0.25208,0.35432,0.2879,0.21123,0.12507,0.06029,0.02012
30 to 34,0.69902,0.55094,0.34564,0.31918,0.60589,0.98896,1.17946,0.80037,0.6168,0.33315,0.27983,0.32152,0.23494,0.17062,0.06692,0.04117
35 to 39,0.62014,0.63271,0.42729,0.39509,0.41608,0.68464,0.8706,1.00812,0.68906,0.38475,0.28063,0.2758,0.29112,0.15808,0.0963,0.03416
40 to 44,0.4597,0.58593,0.54018,0.44295,0.35424,0.50115,0.59977,0.76953,0.81819,0.40411,0.34764,0.2951,0.27483,0.16473,0.12344,0.03568
45 to 49,0.34059,0.29447,0.35895,0.41207,0.43212,0.47462,0.47934,0.51663,0.5212,0.43327,0.40623,0.21756,0.2328,0.13702,0.09733,0.04628
50 to 54,0.42069,0.24097,0.24099,0.19011,0.26819,0.41,0.49687,0.35991,0.36548,0.34455,0.32612,0.32628,0.21531,0.15475,0.08134,0.0345
55 to 59,0.38382,0.27286,0.16376,0.10317,0.1941,0.24024,0.39189,0.31173,0.18788,0.17239,0.28239,0.33293,0.29163,0.18315,0.08879,0.03638
60 to 64,0.29276,0.29117,0.13205,0.08688,0.08972,0.10875,0.20608,0.30756,0.20446,0.14085,0.19715,0.24764,0.29137,0.19953,0.16786,0.03956
65 to 69,0.2473,0.21331,0.13409,0.07765,0.06769,0.07958,0.14769,0.21149,0.14275,0.09174,0.10712,0.1375,0.21133,0.17291,0.15047,0.05245
70 to 74,0.17448,0.11379,0.10708,0.05209,0.08338,0.05609,0.08375,0.14032,0.12232,0.09209,0.07952,0.08583,0.16694,0.10318,0.15621,0.05146
75+,0.0856,0.08762,0.09609,0.03607,0.0685,0.02949,0.08117,0.05791,0.05387,0.07417,0.05592,0.04861,0.07307,0.06422,0.0594,0.03641
