Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.19319,0.13298,0.00122,0.00428,0.00272,0.00162,0.00377,0.00641,0.00233,0.01991,0.00558,0.017,0.00876,0.00035,0,0
5 to 9,0.10627,4.8968,1.174,0.0282,0.00536,0.00743,0.0394,0.02356,0.018,0.04203,0.0851,0.06685,0.0124,0.00493,0,0.00422
10 to 14,0.02107,0.3024,7.5641,1.31614,0.00233,0.00247,0.02807,0.01859,0.0155,0.02956,0.11583,0.06245,0.00672,0.00195,0,0
15 to 19,0.01336,0.01875,0.13134,2.54076,0.12163,0.0096,0.01217,0.00643,0.04055,0.06807,0.07859,0.04752,0.0231,0,0.00152,0.00424
20 to 24,0.00203,0.0067,0.0047,0.01189,0.04309,0.02011,0.00403,0.0016,0.00083,0.00061,0.00068,0.00081,0.00193,0.00035,0,0
25 to 29,0.00502,0.00533,0.0044,0.00375,0.00363,0.01089,0.00615,0.00401,0.00207,0.0026,0.00143,0.00609,0.00024,0.00034,0,0.00152
30 to 34,0.01071,0.01103,0.00723,0.00611,0.00267,0.00196,0.00586,0.00587,0.00216,0.00534,0.00427,0.00249,0.00225,0.0022,0,0
35 to 39,0.00797,0.01056,0.01166,0.00871,0.00332,0.00264,0.00412,0.00445,0.00296,0.00469,0.00427,0.00423,0.00632,0.00097,0.00152,0
40 to 44,0.0042,0.01359,0.01627,0.00935,0.00229,0.00323,0.00469,0.00518,0.00673,0.00464,0.00568,0.0056,0.00143,0.00098,0.00157,0
45 to 49,0.00506,0.01002,0.01322,0.01135,0.00285,0.00285,0.00247,0.00251,0.00243,0.00283,0.00788,0.0041,0.00229,0.00159,0.00423,0
50 to 54,0.00306,0.01038,0.01142,0.00759,0.00167,8.00E-04,0.00219,4.00E-04,0.00297,0.00381,0.00438,0.00387,0.0019,0.00037,0.00704,0
55 to 59,0.00205,0.00271,0.00479,0.00397,0.00123,0.00146,0.00036,0.00103,0.00089,0.00188,0.00246,0.00458,0.00103,0.00285,0.00429,0
60 to 64,0.00031,0.00099,0.00113,0.00091,0.00011,6.00E-04,0.00079,8.00E-05,0.00086,0.00052,0.00078,0.00158,0.0038,0.00158,0.00155,0
65 to 69,0.00016,0.00025,0.00013,0.00018,0.00023,0.00042,8.00E-05,0.00037,9.00E-05,0.00031,0,0,0.00216,0.00346,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
