Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.97463,0.40665,0.00336,0.0181,0.03366,0.00273,0.00925,0.01583,0.00596,0.04943,0.01134,0.03874,0.02231,0.00054,0,0
5 to 9,0.32499,7.22856,1.55183,0.0595,0.05218,0.01363,0.09362,0.05657,0.03928,0.08717,0.13108,0.13877,0.03662,0.01043,0,0.00422
10 to 14,0.05803,0.39972,8.95212,2.48836,0.02057,0.00427,0.06162,0.04124,0.031,0.05615,0.1631,0.11947,0.01852,0.00401,0,0
15 to 19,0.05643,0.03957,0.24831,7.62827,1.56609,0.02007,0.03542,0.0189,0.11246,0.18023,0.15712,0.12253,0.07924,0,0.00152,0.00424
20 to 24,0.02504,0.06526,0.04151,0.15313,1.12825,0.04709,0.0162,0.00648,0.00374,0.00269,0.00246,0.00305,0.0076,0.00068,0,0
25 to 29,0.00845,0.00978,0.00761,0.00785,0.0085,0.01144,0.0069,0.00451,0.00237,0.00296,0.00157,0.00677,0.00026,0.00035,0,0.00152
30 to 34,0.02626,0.02622,0.01587,0.0178,0.01075,0.00221,0.00758,0.00761,0.0029,0.00711,0.00529,0.00315,0.0029,0.0024,0,0
35 to 39,0.01966,0.02536,0.02587,0.0256,0.01343,0.00297,0.00535,0.00578,0.00399,0.00626,0.00531,0.00537,0.00816,0.00106,0.00152,0
40 to 44,0.01073,0.02965,0.03254,0.02594,0.01027,0.0037,0.0063,0.00697,0.00937,0.00639,0.00717,0.00731,0.00193,0.00109,0.00157,0
45 to 49,0.01257,0.02078,0.02511,0.03005,0.01251,0.00325,0.00329,0.00335,0.00335,0.00385,0.00983,0.00531,0.00306,0.00176,0.00423,0
50 to 54,0.00622,0.01599,0.01608,0.01517,0.00606,0.00088,0.00272,5.00E-04,0.00376,0.00476,0.00503,0.00467,0.00239,4.00E-04,0.00704,0
55 to 59,0.00467,0.00563,0.00916,0.01023,0.00464,0.00162,0.00046,0.0013,0.00117,0.00243,0.00297,0.00567,0.0013,0.00309,0.00429,0
60 to 64,0.00079,0.00293,0.00311,0.00311,0.00042,0.00067,0.00101,0.00011,0.00115,7.00E-04,0.00098,0.002,0.00485,0.00171,0.00155,0
65 to 69,0.00025,0.00053,0.00028,0.00038,0.00043,0.00044,9.00E-05,0.00041,1.00E-04,0.00034,0,0,0.00234,0.00354,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
