Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.22039,0.12612,0.00129,0.00587,0.00526,0.00157,0.00373,0.0064,0.00238,0.02006,0.00576,0.01922,0.00999,0.00037,0,0
5 to 9,0.10079,3.62154,0.97498,0.03114,0.01124,0.00602,0.03277,0.02004,0.01573,0.03559,0.07465,0.0735,0.01521,0.00583,0,0.00422
10 to 14,0.02229,0.25113,7.05814,1.63268,0.0055,0.00207,0.025,0.01696,0.01473,0.0272,0.11111,0.07519,0.00898,0.00243,0,0
15 to 19,0.0183,0.02071,0.16292,4.16916,0.35278,0.00925,0.01298,0.00701,0.04708,0.07691,0.09321,0.06765,0.0344,0,0.00152,0.00424
20 to 24,0.00391,0.01405,0.01109,0.03449,0.121,0.02128,0.00474,0.0019,0.00108,0.00079,0.00092,0.00112,0.0025,0.00039,0,0
25 to 29,0.00486,0.00432,0.00369,0.00362,0.00384,0.01082,0.00609,0.00398,0.00205,0.00256,0.0014,0.00608,0.00024,0.00034,0,0.00152
30 to 34,0.01059,0.00918,0.00644,0.00653,0.00315,0.00194,0.00578,0.0058,0.00213,0.00526,0.00421,0.00251,0.00228,0.00222,0,0
35 to 39,0.00795,0.00899,0.01064,0.0095,0.00394,0.00261,0.00407,0.0044,0.00293,0.00462,0.00423,0.00429,0.00642,0.00098,0.00152,0
40 to 44,0.00429,0.01188,0.01546,0.01086,0.00296,0.00319,0.00463,0.00512,0.00668,0.00458,0.00564,0.00574,0.00148,0.001,0.00157,0
45 to 49,0.0051,0.00849,0.01216,0.01282,0.00366,0.00281,0.00243,0.00247,0.00241,0.00278,0.00778,0.00419,0.00236,0.00161,0.00423,0
50 to 54,0.00316,0.00911,0.01096,0.009,0.00227,0.00079,0.00216,4.00E-04,0.00295,0.00377,0.00435,0.004,0.00197,0.00037,0.00704,0
55 to 59,0.00232,0.00298,0.00577,0.00565,0.0017,0.00146,0.00037,0.00104,0.00092,0.00192,0.00254,0.00483,0.00107,0.0029,0.00429,0
60 to 64,0.00035,0.00122,0.00151,0.00135,0.00014,6.00E-04,8.00E-04,8.00E-05,0.00088,0.00054,0.00081,0.00165,0.00394,0.0016,0.00155,0
65 to 69,0.00017,3.00E-04,0.00017,0.00022,0.00025,0.00042,8.00E-05,0.00038,9.00E-05,0.00031,0,0,0.00219,0.00347,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
