Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.10663,0.08183,0.00064,0.00275,0.00375,0.00158,0.00345,0.00583,0.00204,0.01683,0.00488,0.01621,0.0083,0.00035,0,0
5 to 9,0.0654,5.05062,1.01088,0.0297,0.01517,0.00903,0.04414,0.02562,0.01925,0.04125,0.09757,0.08894,0.01393,0.00599,0,0.00422
10 to 14,0.01101,0.26038,5.43751,1.15894,0.0056,0.00273,0.02777,0.01787,0.01445,0.02529,0.11481,0.0727,0.0068,0.00227,0,0
15 to 19,0.00859,0.01975,0.11565,2.73103,0.33241,0.01131,0.01357,0.00699,0.04364,0.06791,0.09027,0.06181,0.02564,0,0.00152,0.00424
20 to 24,0.00279,0.01898,0.0113,0.0325,0.15326,0.02476,0.00544,0.00213,0.0012,0.00085,0.00107,0.00123,0.00239,0.00039,0,0
25 to 29,0.0049,0.00648,0.00487,0.00442,0.00447,0.01103,0.00625,0.00408,0.00211,0.00264,0.00147,0.00629,0.00024,0.00034,0,0.00152
30 to 34,0.0098,0.01236,0.00715,0.00682,0.00361,0.002,0.00597,0.00596,0.0022,0.00539,0.00441,0.0026,0.00228,0.00223,0,0
35 to 39,0.00724,0.01149,0.01121,0.00947,0.00441,0.00268,0.00419,0.00451,0.00301,0.00471,0.0044,0.0044,0.00639,0.00098,0.00152,0
40 to 44,0.00367,0.01453,0.01516,0.01007,0.00329,0.00329,0.00478,0.00526,0.00685,0.00466,0.00588,0.00588,0.00146,0.001,0.00157,0
45 to 49,0.00428,0.00983,0.01131,0.01132,0.00394,0.0029,0.00249,0.00252,0.00244,0.0028,0.00801,0.00425,0.00231,0.00161,0.00423,0
50 to 54,0.00268,0.0119,0.01132,0.00872,0.00264,0.00083,0.00227,0.00042,0.00308,0.00388,0.00464,0.00416,0.00195,0.00037,0.00704,0
55 to 59,0.00196,0.00361,0.00558,0.00516,0.00188,0.00151,0.00038,0.00107,0.00094,0.00194,0.00264,0.00494,0.00106,0.0029,0.00429,0
60 to 64,0.00029,0.00111,0.00114,0.00101,0.00013,6.00E-04,8.00E-04,8.00E-05,0.00087,0.00053,8.00E-04,0.00163,0.00384,0.00159,0.00155,0
65 to 69,0.00016,0.00031,0.00016,2.00E-04,0.00025,0.00043,8.00E-05,0.00038,9.00E-05,0.00031,0,0,0.00218,0.00347,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
