Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.17478,0.11811,0.00112,0.0052,0.00486,0.00157,0.00365,0.00623,0.00215,0.01771,0.00529,0.01737,0.00944,0.00037,0,0
5 to 9,0.09439,4.41591,1.09858,0.03574,0.01308,0.00675,0.03652,0.02214,0.01509,0.0324,0.07725,0.07166,0.0157,0.0068,0,0.00422
10 to 14,0.01935,0.28297,7.34567,1.73158,0.00594,0.00227,0.02661,0.01787,0.01329,0.02324,0.10807,0.06894,0.00879,0.00279,0,0
15 to 19,0.01621,0.02377,0.17279,4.50513,0.3877,0.0101,0.01391,0.00744,0.04335,0.06728,0.09211,0.06321,0.03417,0,0.00152,0.00424
20 to 24,0.00362,0.01636,0.01199,0.03791,0.13305,0.02203,0.00493,0.00197,0.00104,0.00074,0.00092,0.00109,0.00251,4.00E-04,0,0
25 to 29,0.00488,0.00485,0.00405,0.00395,0.00398,0.01085,0.00612,0.004,0.00205,0.00256,0.00141,0.00609,0.00024,0.00034,0,0.00152
30 to 34,0.01035,0.01023,0.00685,0.00699,0.00327,0.00195,0.00582,0.00584,0.00212,0.0052,0.00421,0.0025,0.00228,0.00223,0,0
35 to 39,0.00774,0.00992,0.01121,0.01008,0.00408,0.00263,0.0041,0.00443,0.00292,0.00457,0.00423,0.00426,0.00643,0.00098,0.00152,0
40 to 44,0.00387,0.01139,0.01395,0.01,0.00286,0.00319,0.0046,0.00509,0.00649,0.00443,0.0055,0.00558,0.00146,0.001,0.00157,0
45 to 49,0.0045,0.00772,0.01039,0.01122,0.00345,0.00281,0.00241,0.00245,0.00232,0.00267,0.00753,0.00405,0.00231,0.00161,0.00423,0
50 to 54,0.0029,0.00942,0.01066,0.0089,0.00228,8.00E-04,0.00217,4.00E-04,0.00288,0.00364,0.00428,0.0039,0.00196,0.00037,0.00704,0
55 to 59,0.00209,0.00291,0.00529,0.00528,0.00165,0.00146,0.00037,0.00104,0.00089,0.00185,0.00248,0.00469,0.00106,0.00291,0.00429,0
60 to 64,0.00033,0.00126,0.00148,0.00134,0.00014,6.00E-04,8.00E-04,8.00E-05,0.00087,0.00053,8.00E-04,0.00163,0.00392,0.00161,0.00155,0
65 to 69,0.00017,0.00035,0.00019,0.00025,0.00026,0.00043,8.00E-05,0.00038,9.00E-05,0.00031,0,0,0.0022,0.00348,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
