Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.02389,0.05408,0.04904,0.02618,0.05539,0.03696,0.04837,0.03797,0.03025,0.00952,0.00102,0.00036,0
20 to 24,0,0,0,0.08023,0.43878,0.43082,0.2949,0.25949,0.32629,0.23285,0.20339,0.16247,0.14992,0.0063,0.00102,0.00283
25 to 29,0,0,0,0.04761,0.43385,0.7485,0.50165,0.4998,0.52808,0.41566,0.43946,0.30831,0.27569,0.01667,0.00136,0.00301
30 to 34,0,0,0,0.04384,0.35772,0.52912,0.64855,0.52872,0.61532,0.52649,0.50606,0.42349,0.30002,0.01519,0.00227,0.00298
35 to 39,0,0,0,0.04323,0.41807,0.54798,0.60331,0.77498,0.69849,0.61399,0.55899,0.42356,0.37611,0.0065,0.00272,0.00569
40 to 44,0,0,0,0.05145,0.33721,0.54082,0.5776,0.80544,0.9142,0.67859,0.80863,0.57845,0.43445,0.01563,0.00255,0.00199
45 to 49,0,0,0,0.04247,0.28279,0.39702,0.49377,0.58362,0.76914,0.69347,0.81671,0.4778,0.4442,0.01411,0.00222,0.00074
50 to 54,0,0,0,0.02667,0.23091,0.349,0.31851,0.45443,0.59117,0.47769,0.66352,0.47371,0.36294,0.01728,0.00145,0.00073
55 to 59,0,0,0,0.01457,0.1221,0.18558,0.21389,0.20811,0.23606,0.27976,0.37049,0.34116,0.32244,0.01072,0.00275,0
60 to 64,0,0,0,0.00766,0.08845,0.12172,0.1126,0.08465,0.13259,0.11058,0.13868,0.1551,0.12351,0.00853,0.00145,0
65 to 69,0,0,0,0.00038,0.00197,0.00339,0.00344,0.00274,0.00339,0.00386,0.00265,0.00273,0.00372,0.00015,6.00E-05,3.00E-05
70 to 74,0,0,0,4.00E-05,8.00E-04,0.00065,0.00026,0.00062,0.00074,0.00078,8.00E-04,4.00E-04,0.00046,8.00E-05,2.00E-05,0
75+,0,0,0,0,0.00023,0.00019,0.00022,0.00041,0.00093,0.00044,0.00069,0.00041,0.00082,4.00E-05,3.00E-05,0
