Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.30621,0.23599,0.23866,0.12925,0.25922,0.16549,0.21378,0.17232,0.13608,0.03547,0.01619,0.00127,0
20 to 24,0,0,0,0.35013,0.65181,0.7137,0.49559,0.41338,0.49734,0.35031,0.31423,0.24882,0.19012,0.03393,0.00124,0.00345
25 to 29,0,0,0,0.23168,0.71874,1.38282,0.94014,0.88793,0.89764,0.69736,0.75717,0.52658,0.38989,0.1001,0.00185,0.00409
30 to 34,0,0,0,0.21644,0.60115,0.99162,1.23296,0.95285,1.06102,0.89604,0.8845,0.73372,0.43042,0.09251,0.00313,0.00412
35 to 39,0,0,0,0.20231,0.66602,0.97352,1.08728,1.32397,1.14176,0.99058,0.92616,0.69565,0.51149,0.0375,0.00355,0.00743
40 to 44,0,0,0,0.23038,0.514,0.9193,0.99598,1.31657,1.4298,1.04751,1.28191,0.90902,0.56531,0.08631,0.00319,0.00249
45 to 49,0,0,0,0.18771,0.42544,0.6661,0.84036,0.94158,1.18729,1.05656,1.27788,0.74108,0.57047,0.07691,0.00275,0.00092
50 to 54,0,0,0,0.12106,0.35675,0.60132,0.55669,0.75293,0.93717,0.74742,1.06619,0.75455,0.47869,0.09674,0.00184,0.00092
55 to 59,0,0,0,0.06554,0.187,0.31696,0.37058,0.34181,0.37095,0.43391,0.59013,0.53867,0.42156,0.05948,0.00346,0
60 to 64,0,0,0,0.02854,0.11217,0.17214,0.16153,0.11511,0.17253,0.14202,0.18291,0.20278,0.13371,0.0392,0.00151,0
65 to 69,0,0,0,0.00594,0.01062,0.02038,0.02092,0.01581,0.01873,0.02102,0.01482,0.01513,0.01708,0.00301,0.00025,0.00015
70 to 74,0,0,0,0.00014,0.00098,0.00088,0.00036,0.00081,0.00092,0.00096,0.00102,0.00051,0.00048,0.00036,2.00E-05,0
75+,0,0,0,0,0.00028,0.00026,0.00031,0.00053,0.00116,0.00054,0.00088,0.00051,0.00086,0.00017,3.00E-05,0
