Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.08038,0.08402,0.10385,0.0626,0.12758,0.07949,0.10539,0.08494,0.06317,0.02018,0.02702,0.00065,0
20 to 24,0,0,0,0.12465,0.31471,0.42118,0.32555,0.27592,0.32401,0.23421,0.21007,0.15663,0.1467,0.07681,0.00086,0.00239
25 to 29,0,0,0,0.10081,0.42415,0.9974,0.75482,0.72439,0.71476,0.56986,0.61866,0.40515,0.36771,0.27696,0.00157,0.00347
30 to 34,0,0,0,0.10484,0.39489,0.79615,1.10189,0.8653,0.94042,0.81504,0.80445,0.62838,0.45185,0.28492,0.00296,0.00389
35 to 39,0,0,0,0.09957,0.44456,0.79422,0.98737,1.22171,1.02831,0.91557,0.85593,0.60539,0.54563,0.11737,0.00341,0.00714
40 to 44,0,0,0,0.11067,0.33486,0.732,0.88277,1.18575,1.25685,0.94498,1.1563,0.7721,0.58858,0.26365,0.00299,0.00233
45 to 49,0,0,0,0.09254,0.28444,0.54431,0.7644,0.87028,1.07108,0.97817,1.18292,0.64598,0.60955,0.24111,0.00264,0.00088
50 to 54,0,0,0,0.05967,0.23849,0.49132,0.50631,0.69584,0.84534,0.69188,0.98685,0.65765,0.51142,0.30322,0.00177,0.00089
55 to 59,0,0,0,0.03042,0.11772,0.24387,0.31737,0.29746,0.31508,0.37823,0.51435,0.4421,0.42411,0.17556,0.00313,0
60 to 64,0,0,0,0.01624,0.08655,0.16235,0.16958,0.1228,0.17963,0.15175,0.19542,0.204,0.16489,0.14184,0.00168,0
65 to 69,0,0,0,0.00991,0.02405,0.05638,0.06444,0.04948,0.05721,0.0659,0.04646,0.04465,0.06179,0.0319,8.00E-04,0.00049
70 to 74,0,0,0,7.00E-05,0.00068,0.00075,0.00034,0.00077,0.00086,0.00092,0.00098,0.00046,0.00053,0.00118,2.00E-05,0
75+,0,0,0,0,0.00019,0.00022,0.00029,0.00051,0.00109,0.00052,0.00084,0.00046,0.00095,0.00057,3.00E-05,0
