Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.02309,0.04983,0.05703,0.03429,0.06903,0.04322,0.05458,0.04252,0.03225,0.00773,0.0033,0.00035,0
20 to 24,0,0,0,0.07393,0.38531,0.47751,0.3681,0.30819,0.36366,0.25043,0.21707,0.16511,0.11593,0.01935,0.00096,0.00265
25 to 29,0,0,0,0.05536,0.48088,1.04716,0.79034,0.74925,0.74287,0.56425,0.592,0.39548,0.26908,0.06462,0.00161,0.00356
30 to 34,0,0,0,0.05742,0.44651,0.83362,1.15065,0.89257,0.97479,0.80484,0.76772,0.61174,0.32977,0.0663,0.00303,0.00398
35 to 39,0,0,0,0.05387,0.49654,0.82147,1.0185,1.24487,1.0529,0.8931,0.80689,0.58217,0.39335,0.02698,0.00344,0.00721
40 to 44,0,0,0,0.06017,0.37583,0.7608,0.91503,1.2141,1.29317,0.92626,1.09535,0.74611,0.42638,0.06089,0.00303,0.00237
45 to 49,0,0,0,0.04793,0.30414,0.53895,0.75483,0.84892,1.04986,0.91342,1.06754,0.59469,0.42067,0.05305,0.00255,0.00085
50 to 54,0,0,0,0.02987,0.24644,0.47015,0.48319,0.65597,0.80079,0.6244,0.86069,0.58511,0.3411,0.06448,0.00165,0.00083
55 to 59,0,0,0,0.01553,0.12409,0.23805,0.30897,0.28605,0.30447,0.3482,0.45761,0.40124,0.28855,0.03808,0.00299,0
60 to 64,0,0,0,0.00622,0.0684,0.11881,0.12376,0.08853,0.13013,0.10473,0.13034,0.1388,0.0841,0.02307,0.0012,0
65 to 69,0,0,0,0.00121,0.00606,0.01315,0.01499,0.01137,0.01321,0.0145,0.00988,0.00969,0.01005,0.00165,0.00018,0.00011
70 to 74,0,0,0,4.00E-05,0.00075,0.00077,0.00035,0.00078,0.00087,0.00089,0.00092,0.00044,0.00038,0.00027,2.00E-05,0
75+,0,0,0,0,0.00021,0.00023,3.00E-04,0.00052,0.0011,5.00E-04,0.00079,0.00044,0.00068,0.00013,3.00E-05,0
