Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.09147,0.10693,0.12903,0.07385,0.14949,0.09591,0.12496,0.10329,0.08973,0.02914,0.04057,7.00E-04,0
20 to 24,0,0,0,0.15865,0.448,0.58531,0.42954,0.36162,0.43721,0.3106,0.2857,0.24887,0.23694,0.12901,0.00103,0.00286
25 to 29,0,0,0,0.12526,0.58944,1.35318,0.97228,0.92681,0.94157,0.73778,0.82142,0.62845,0.57977,0.45413,0.00183,0.00404
30 to 34,0,0,0,0.12367,0.52103,1.02552,1.34758,1.05111,1.1762,1.00186,1.0141,0.92544,0.67642,0.44356,0.00328,0.0043
35 to 39,0,0,0,0.11667,0.58262,1.01615,1.1994,1.47406,1.27746,1.11785,1.07173,0.88557,0.81129,0.18149,0.00375,0.00784
40 to 44,0,0,0,0.13351,0.45185,0.96428,1.10409,1.47305,1.60762,1.18792,1.4907,1.16289,0.90108,0.41975,0.00338,0.00264
45 to 49,0,0,0,0.10972,0.37722,0.7047,0.9396,1.06256,1.34644,1.2085,1.4988,0.95621,0.91714,0.37727,0.00294,0.00098
50 to 54,0,0,0,0.07256,0.32435,0.65234,0.63826,0.87127,1.08982,0.87664,1.28231,0.99835,0.78914,0.48657,0.00201,0.00101
55 to 59,0,0,0,0.04322,0.18704,0.37828,0.46741,0.43512,0.47455,0.55987,0.7808,0.78407,0.76454,0.32912,0.00417,0
60 to 64,0,0,0,0.02345,0.13979,0.25598,0.25386,0.18259,0.27501,0.22832,0.30154,0.36775,0.30215,0.27029,0.00227,0
65 to 69,0,0,0,0.01488,0.0404,0.09244,0.10032,0.07651,0.09109,0.10311,0.07455,0.08371,0.11775,0.06321,0.00112,0.00069
70 to 74,0,0,0,8.00E-05,0.00081,0.00087,0.00038,0.00085,0.00098,0.00103,0.00112,0.00061,0.00072,0.00166,2.00E-05,0
75+,0,0,0,0,0.00023,0.00026,0.00032,0.00056,0.00123,0.00058,0.00096,0.00062,0.00129,8.00E-04,3.00E-05,0
