Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.13306,0.13104,0.16104,0.08777,0.17579,0.11067,0.14265,0.11393,0.09497,0.02647,0.02036,0.00084,0
20 to 24,0,0,0,0.19443,0.46254,0.61542,0.43005,0.35823,0.42502,0.29872,0.2655,0.22189,0.18132,0.05455,0.00105,0.0029
25 to 29,0,0,0,0.15633,0.61976,1.44894,0.99134,0.93502,0.93215,0.72262,0.77737,0.57063,0.45184,0.19554,0.00189,0.00419
30 to 34,0,0,0,0.14698,0.52166,1.04562,1.30834,1.00974,1.10879,0.93437,0.91385,0.80013,0.50196,0.18186,0.00323,0.00424
35 to 39,0,0,0,0.1372,0.57716,1.02515,1.1522,1.40113,1.19156,1.03156,0.9556,0.75759,0.59571,0.07363,0.00365,0.00765
40 to 44,0,0,0,0.15406,0.43925,0.95464,1.04082,1.37399,1.47149,1.07573,1.30433,0.97624,0.64927,0.16711,0.00324,0.00252
45 to 49,0,0,0,0.12526,0.36279,0.69022,0.87631,0.98053,1.21928,1.0827,1.29743,0.79417,0.65379,0.14859,0.00278,0.00093
50 to 54,0,0,0,0.08004,0.30142,0.61736,0.57516,0.77686,0.95357,0.75886,1.07254,0.80117,0.54355,0.18517,0.00184,0.00092
55 to 59,0,0,0,0.04574,0.16676,0.34347,0.40412,0.37224,0.39838,0.46499,0.62659,0.60369,0.50525,0.12017,0.00366,0
60 to 64,0,0,0,0.0213,0.10698,0.19949,0.18838,0.13407,0.19815,0.16276,0.2077,0.24303,0.17138,0.08471,0.00171,0
65 to 69,0,0,0,0.00747,0.01708,0.03981,0.04113,0.03104,0.03626,0.04061,0.02837,0.03056,0.0369,0.01095,0.00047,0.00029
70 to 74,0,0,0,9.00E-05,0.00083,9.00E-04,0.00037,0.00083,0.00093,0.00097,0.00102,0.00054,0.00054,0.00069,2.00E-05,0
75+,0,0,0,0,0.00023,0.00027,0.00032,0.00055,0.00118,0.00055,0.00088,0.00054,0.00097,0.00033,3.00E-05,0
