Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.0408,0.03519,0.04476,0.02662,0.05904,0.04139,0.05514,0.04355,0.0336,0.00858,0.00242,0.00046,0
20 to 24,0,0,0,0.05221,0.10879,0.14981,0.11426,0.10538,0.13923,0.10112,0.08889,0.06876,0.05149,0.00567,0.00051,0.00141
25 to 29,0,0,0,0.04345,0.15087,0.36507,0.2726,0.28469,0.31605,0.25319,0.26938,0.18303,0.13281,0.02105,0.00095,0.0021
30 to 34,0,0,0,0.04459,0.13859,0.28753,0.39266,0.33555,0.41031,0.35731,0.34562,0.28011,0.16103,0.02137,0.00177,0.00232
35 to 39,0,0,0,0.04608,0.16979,0.31213,0.38289,0.51555,0.48823,0.43678,0.40017,0.29366,0.2116,0.00958,0.00222,0.00464
40 to 44,0,0,0,0.05762,0.14389,0.32368,0.38515,0.56298,0.6714,0.50721,0.60823,0.42139,0.25681,0.02421,0.00219,0.0017
45 to 49,0,0,0,0.04841,0.12281,0.24183,0.3351,0.41517,0.57489,0.52754,0.62521,0.35424,0.26723,0.02225,0.00194,0.00065
50 to 54,0,0,0,0.0306,0.10091,0.21393,0.21753,0.32532,0.44467,0.36568,0.51116,0.35343,0.21973,0.02742,0.00127,0.00064
55 to 59,0,0,0,0.01618,0.05168,0.11017,0.14147,0.14429,0.17196,0.20741,0.27642,0.24651,0.18906,0.01647,0.00234,0
60 to 64,0,0,0,0.00691,0.03038,0.05864,0.06043,0.04762,0.07838,0.06653,0.08396,0.09094,0.05877,0.01064,0.001,0
65 to 69,0,0,0,0.00089,0.00178,0.00429,0.00483,0.00404,0.00525,0.00608,0.0042,0.00419,0.00463,5.00E-04,1.00E-04,6.00E-05
70 to 74,0,0,0,5.00E-05,4.00E-04,0.00045,2.00E-04,5.00E-04,0.00063,0.00068,0.00071,0.00034,0.00032,0.00015,2.00E-05,0
75+,0,0,0,0,0.00011,0.00013,0.00017,0.00033,0.00079,0.00038,0.00061,0.00035,0.00057,7.00E-05,3.00E-05,0
