Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.08919,0.12535,0.12736,0.07109,0.14179,0.088,0.11234,0.09082,0.074,0.01851,0.0114,0.00069,0
20 to 24,0,0,0,0.18599,0.63143,0.69459,0.4971,0.41237,0.48231,0.33571,0.30203,0.24674,0.18096,0.04359,0.00122,0.00339
25 to 29,0,0,0,0.12364,0.69949,1.35205,0.94739,0.88988,0.87456,0.6714,0.73115,0.52462,0.37283,0.12919,0.00183,0.00404
30 to 34,0,0,0,0.11905,0.60298,0.99926,1.28054,0.9842,1.06542,0.88912,0.88028,0.75338,0.4242,0.12305,0.00319,0.00419
35 to 39,0,0,0,0.11067,0.66439,0.97565,1.12305,1.36004,1.14021,0.97755,0.91669,0.71038,0.50134,0.04961,0.0036,0.00753
40 to 44,0,0,0,0.12251,0.49847,0.89566,1.0001,1.31479,1.38811,1.00495,1.23348,0.90242,0.53867,0.111,0.00314,0.00245
45 to 49,0,0,0,0.09864,0.40771,0.6413,0.83387,0.92919,1.13905,1.00166,1.21507,0.72701,0.53716,0.09775,0.00267,0.00089
50 to 54,0,0,0,0.0638,0.3429,0.58065,0.55403,0.74523,0.90177,0.71069,1.0168,0.74243,0.45208,0.12331,0.00179,9.00E-04
55 to 59,0,0,0,0.03564,0.18544,0.31577,0.38051,0.34904,0.36826,0.42567,0.58065,0.54683,0.41076,0.07822,0.00349,0
60 to 64,0,0,0,0.0149,0.10677,0.16461,0.1592,0.11283,0.1644,0.13373,0.17274,0.19758,0.12505,0.04949,0.00146,0
65 to 69,0,0,0,0.00418,0.01365,0.0263,0.02783,0.02091,0.02409,0.02672,0.01889,0.0199,0.02156,0.00512,0.00032,2.00E-04
70 to 74,0,0,0,8.00E-05,0.00097,0.00087,0.00037,0.00082,0.00091,0.00093,0.00099,0.00051,0.00046,0.00047,2.00E-05,0
75+,0,0,0,0,0.00027,0.00026,0.00031,0.00054,0.00114,0.00053,0.00086,0.00052,0.00083,0.00023,3.00E-05,0
